1 2 3 4
TCGA-BH-A0BJ 38.8251 31.6965 169.3988 129.2144
TCGA-BH-A0BL 141.7445 1e-04 235.8257 0.3951
TCGA-BH-A0BM 41.4186 0.3189 93.38 235.494
TCGA-BH-A0BO 46.739 3.8381 195.5645 146.3024
TCGA-BH-A0BP 56.6982 34.9864 202.5843 84.0452
TCGA-BH-A0BQ 63.7255 0.8616 224.1572 159.9433
TCGA-BH-A0BR 89.462 0.069 298.1148 89.8645
TCGA-BH-A0BS 9.6252 99.2961 28.597 142.78
TCGA-BH-A0BT 75.6908 0.07 81.9142 170.9621
TCGA-BH-A0BV 8.2704 105.025 162.4296 73.6959
TCGA-BH-A0BW 153.7703 15.2836 66.2768 0
TCGA-BH-A0BZ 116.5982 60.4063 183.9306 0
TCGA-BH-A0C0 122.6932 49.5712 36.3449 39.8111
TCGA-BH-A0C3 38.3756 69.2611 234.4864 39.9238
TCGA-BH-A0DD 36.463 111.8557 72.878 37.8252
TCGA-BH-A0DE 34.3581 64.8556 140.9024 73.2773
TCGA-BH-A0DG 62.4661 32.025 278.1875 65.1361
TCGA-BH-A0DH 9.2108 38.7358 57.9347 220.5067
TCGA-BH-A0DI 65.1964 0.0512 433.3227 82.9459
TCGA-BH-A0DK 78.3605 78.8609 158.3769 46.7071
TCGA-BH-A0DL 232.3881 0 26.0911 2.0362
TCGA-BH-A0DP 42.3549 0.3694 192.633 173.8354
TCGA-BH-A0DQ 39.9696 51.974 279.6644 62.1424
TCGA-BH-A0DS 60.3117 12.7575 139.4207 168.3028
TCGA-BH-A0DT 43.8528 18.3859 138.755 144.1276
TCGA-BH-A0DX 68.6819 0.0506 305.5587 102.7467
TCGA-BH-A0DZ 108.1371 11.7819 258.4051 90.2243
TCGA-BH-A0E0 250.6696 0.8167 5.5962 12.1638
TCGA-BH-A0E1 15.0216 31.5301 87.3896 237.0798
TCGA-BH-A0E2 78.3683 75.4352 133.0694 61.0181
TCGA-BH-A0E6 239.4736 0.0206 25.5615 33.5474
TCGA-BH-A0E7 0.0722 123.608 90.8342 59.4789
TCGA-BH-A0EA 48.9904 9.7059 160.6809 120.5564
TCGA-BH-A0EB 28.5888 13.5848 170.9571 189.9577
TCGA-BH-A0EE 177.0832 0.0383 0 98.4647
TCGA-BH-A0EI 13.908 74.7819 291.3035 60.8546
TCGA-BH-A0GY 103.4518 82.4077 113.8641 1.3976
TCGA-BH-A0GZ 43.8525 59.3499 154.8993 104.9313
TCGA-BH-A0H0 20.14 125.8961 9.2157 50.242
TCGA-BH-A0H3 44.7527 25.8828 213.5672 94.0094
TCGA-BH-A0H5 105.2497 0.5614 68.4107 113.3227
TCGA-BH-A0H6 18.757 77.9202 219.3822 56.0513
TCGA-BH-A0H7 51.6291 73.1015 381.0557 35.2788
TCGA-BH-A0H9 53.6824 94.9513 71.7439 59.3519
