1 2 3 4 5 6 7
TCGA-AR-A1AS 24.874 0 95.3143 127.1377 22.4418 78.4688 139.5484
TCGA-AR-A1AT 55.63 0.001 124.4001 60.6128 0 49.106 351.7531
TCGA-AR-A1AU 35.1382 0.6656 136.7671 70.5007 119.1678 69.8088 0
TCGA-AR-A1AV 5.2464 72.4176 114.0251 130.5123 101.3074 0.0264 17.2289
TCGA-AR-A1AW 136.1109 2e-04 66.0506 31.4267 42.011 22.7024 9.3657
TCGA-AR-A1AX 69.4321 0.0543 97.4095 78.6987 53.0192 24.8154 87.8156
TCGA-AR-A1AY 241.1829 0.0013 52.6963 0 15.5456 0 0.1068
TCGA-B6-A0I2 206.6466 0 0 5.7774 0 197.1184 0
TCGA-B6-A0I5 8.4641 0.0233 63.5325 108.6399 0 360.4745 57.3121
TCGA-B6-A0I6 178.9733 0.0047 115.51 0.0092 1.7517 86.2474 0
TCGA-B6-A0I8 0.0791 0.0732 99.3245 32.8609 160.791 20.8665 108.6949
TCGA-B6-A0I9 17.271 0.0044 32.4325 4.9863 139.3143 53.3033 198.2992
TCGA-B6-A0IA 0 321.0601 6.9025 123.2529 0 158.5264 178.4579
TCGA-B6-A0IB 0 2.369 25.8032 130.0272 36.5921 79.4336 174.5098
TCGA-B6-A0IC 0.0053 0.2784 0 173.0849 84.3494 17.5575 0
TCGA-B6-A0IE 6.014 7.7735 37.3632 31.3214 98.8085 246.4751 31.2917
TCGA-B6-A0IG 2.1924 0.0118 79.4397 27.6587 45.8305 117.4816 310.9675
TCGA-B6-A0IH 66.9162 0.3604 168.7698 120.924 0 50.6269 8.1922
TCGA-B6-A0IJ 236.4993 0.0027 5.9082 9.8661 0 100.4723 0
TCGA-B6-A0IK 99.3179 2.6071 47.7536 1.4011 54.049 84.1016 160.289
TCGA-B6-A0IM 0.2204 2.5244 131.6513 129.1542 119.7128 34.3276 0
TCGA-B6-A0IN 11.4587 132.6172 89.6625 0 93.5529 160.3033 106.4086
TCGA-B6-A0IO 19.4881 3.2759 24.4378 174.9253 73.5845 93.4581 15.2067
TCGA-B6-A0IP 19.8535 2.3044 52.4017 162.8878 45.9786 80.2205 7.7732
TCGA-B6-A0IQ 174.4833 6e-04 8.4166 0.0759 0 187.7434 9e-04
TCGA-B6-A0RE 227.4848 0.0031 54.2564 2e-04 2.9126 73.7067 1.8041
TCGA-B6-A0RG 4.3502 3.4334 96.8451 31.2451 202.2852 82.9219 1.1375
TCGA-B6-A0RH 34.4575 0.001 143.2792 31.5651 12.9855 170.7678 320.8726
TCGA-B6-A0RI 23.6736 0.0104 225.6347 112.3137 79.0526 46.8139 0.0022
TCGA-B6-A0RL 0 0.0415 0 19.5815 189.0298 72.7669 0
TCGA-B6-A0RM 0 0.0185 30.9514 80.3607 135.8682 74.4912 16.7041
TCGA-B6-A0RN 0.0199 0.0011 236.5479 115.7188 27.2101 128.9281 3.3581
TCGA-B6-A0RO 8.8184 0.0858 16.4713 188.303 53.6575 0 203.1254
TCGA-B6-A0RP 5.3025 141.8464 180.5958 174.1516 0 14.146 56.5249
TCGA-B6-A0RQ 95.1049 0.1983 12.927 141.3392 0 85.6747 32.7134
TCGA-B6-A0RS 120.1794 0.0038 60.0242 24.1293 0 112.2893 187.6493
TCGA-B6-A0RT 182.3514 0.0098 43.1031 9.108 0 56.4432 0
TCGA-B6-A0RU 188.49 0.0841 51.142 9.8911 5.8874 101.9333 0.6179
TCGA-B6-A0RV 25.9641 0.734 27.0182 144.713 37.1898 86.1035 77.8235
TCGA-B6-A0WS 17.1715 0.0078 137.9964 72.728 90.294 25.42 85.3959
TCGA-B6-A0WT 15.1137 9.641 189.0717 84.5236 93.6913 7.6485 15.09
TCGA-B6-A0WV 10.4405 9.4576 46.5539 46.4465 155.0327 42.8337 0
TCGA-B6-A0WW 11.1327 16.1578 107.7106 46.0927 168.081 32.7965 2.8782
TCGA-B6-A0WX 148.4908 0 228.5422 4.403 0 111.0131 0.5081
TCGA-B6-A0WY 95.2752 0.0044 93.4821 60.8705 52.0929 88.9202 11.1296
TCGA-B6-A0WZ 0 8e-04 62.2813 154.4996 0 102.2636 191.6424
